Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCF_030687185.1	ASM3068718v1	Pseudomonas rhodesiae		FP1707					PRJNA847632	SAMN29204961
GCA_018417555.1	ASM1841755v1	Pseudomonas rhodesiae		AAMF24					PRJNA673262	SAMN18016124
GCF_018417555.1	ASM1841755v1	Pseudomonas rhodesiae		AAMF24					PRJNA673262	SAMN18016124
GCA_024748755.1	ASM2474875v1	Pseudomonas rhodesiae		B21-046					PRJNA779451	SAMN23038800
GCF_024748755.1	ASM2474875v1	Pseudomonas rhodesiae		B21-046					PRJNA779451	SAMN23038800
GCA_043225285.1	ASM4322528v1	Pseudomonas migulae		HY-2					PRJNA1170499	SAMN44108246
GCF_043225285.1	ASM4322528v1	Pseudomonas migulae		HY-2					PRJNA1170499	SAMN44108246
GCA_029866525.1	ASM2986652v1	Pseudomonas migulae		8R6					PRJNA816190	SAMN26664672
GCF_029866525.1	ASM2986652v1	Pseudomonas migulae		8R6					PRJNA816190	SAMN26664672
GCA_018516785.1	ASM1851678v1	Pseudomonas congelans		508					PRJNA449945	SAMN08922772
GCF_018516785.1	ASM1851678v1	Pseudomonas congelans		508					PRJNA449945	SAMN08922772
GCA_018516745.1	ASM1851674v1	Pseudomonas congelans		TLP2					PRJNA449517	SAMN08906164
GCF_018516745.1	ASM1851674v1	Pseudomonas congelans		TLP2					PRJNA449517	SAMN08906164
GCA_009818265.1	ASM981826v1	Pseudomonas mediterranea		S58					PRJNA528556	SAMN11230832
GCF_009818265.1	ASM981826v1	Pseudomonas mediterranea		S58					PRJNA528556	SAMN11230832
GCA_026016505.1	ASM2601650v1	Pseudomonas mediterranea		B21-060					PRJNA779433	SAMN23038870
GCF_026016505.1	ASM2601650v1	Pseudomonas mediterranea		B21-060					PRJNA779433	SAMN23038870
GCA_030687125.1	ASM3068712v1	Pseudomonas extremorientalis		FP1754					PRJNA847632	SAMN29204964
GCF_030687125.1	ASM3068712v1	Pseudomonas extremorientalis		FP1754					PRJNA847632	SAMN29204964
GCA_001186335.1	ASM118633v1	Pseudomonas trivialis		IHBB745					PRJNA284214	SAMN03699826
GCF_001186335.1	ASM118633v1	Pseudomonas trivialis		IHBB745					PRJNA284214	SAMN03699826
GCA_002934065.1	ASM293406v1	Pseudomonas orientalis		F9					PRJNA353169	SAMN06014516
GCF_002934065.1	ASM293406v1	Pseudomonas orientalis		F9					PRJNA353169	SAMN06014516
GCA_003851585.1	ASM385158v1	Pseudomonas orientalis		L1-3-08					PRJNA433211	SAMN08359170
GCF_003851585.1	ASM385158v1	Pseudomonas orientalis		L1-3-08					PRJNA433211	SAMN08359170
GCA_003851605.1	ASM385160v1	Pseudomonas orientalis		R2-66-08W					PRJNA433211	SAMN08359169
GCF_003851605.1	ASM385160v1	Pseudomonas orientalis		R2-66-08W					PRJNA433211	SAMN08359169
GCA_003851645.1	ASM385164v1	Pseudomonas orientalis		R4-35-08					PRJNA433211	SAMN08359168
GCF_003851645.1	ASM385164v1	Pseudomonas orientalis		R4-35-08					PRJNA433211	SAMN08359168
GCA_022807995.1	ASM2280799v1	Pseudomonas orientalis		YB-76					PRJNA818414	SAMN26857279
GCF_022807995.1	ASM2280799v1	Pseudomonas orientalis		YB-76					PRJNA818414	SAMN26857279
GCA_036865115.1	ASM3686511v1	Pseudomonas trivialis		P_trivialis_B08_3					PRJNA951732	SAMN34055354
GCF_036865115.1	ASM3686511v1	Pseudomonas trivialis		P_trivialis_B08_3					PRJNA951732	SAMN34055354
GCA_036865105.1	ASM3686510v1	Pseudomonas trivialis		P_trivialis_B08_4					PRJNA951732	SAMN34055355
GCF_036865105.1	ASM3686510v1	Pseudomonas trivialis		P_trivialis_B08_4					PRJNA951732	SAMN34055355
GCA_036865125.1	ASM3686512v1	Pseudomonas trivialis		P_trivialis_B08_1					PRJNA951732	SAMN34055353
GCF_036865125.1	ASM3686512v1	Pseudomonas trivialis		P_trivialis_B08_1					PRJNA951732	SAMN34055353
GCA_036865065.1	ASM3686506v1	Pseudomonas trivialis		P_trivialis_W02_2					PRJNA951732	SAMN34055358
GCF_036865065.1	ASM3686506v1	Pseudomonas trivialis		P_trivialis_W02_2					PRJNA951732	SAMN34055358
GCA_036865095.1	ASM3686509v1	Pseudomonas trivialis		P_trivialis_W02_1					PRJNA951732	SAMN34055356
GCF_036865095.1	ASM3686509v1	Pseudomonas trivialis		P_trivialis_W02_1					PRJNA951732	SAMN34055356
GCA_036865175.1	ASM3686517v1	Pseudomonas trivialis		P_trivialis_B02_6					PRJNA951732	SAMN34055348
GCF_036865175.1	ASM3686517v1	Pseudomonas trivialis		P_trivialis_B02_6					PRJNA951732	SAMN34055348
GCA_036865215.1	ASM3686521v1	Pseudomonas trivialis		P_trivialis_B02_2					PRJNA951732	SAMN34055344
GCF_036865215.1	ASM3686521v1	Pseudomonas trivialis		P_trivialis_B02_2					PRJNA951732	SAMN34055344
GCA_036865235.1	ASM3686523v1	Pseudomonas trivialis		P_trivialis_B02_1					PRJNA951732	SAMN34055342
GCF_036865235.1	ASM3686523v1	Pseudomonas trivialis		P_trivialis_B02_1					PRJNA951732	SAMN34055342
GCA_036865165.1	ASM3686516v1	Pseudomonas trivialis		P_trivialis_B02_7					PRJNA951732	SAMN34055349
GCF_036865165.1	ASM3686516v1	Pseudomonas trivialis		P_trivialis_B02_7					PRJNA951732	SAMN34055349
GCA_036865145.1	ASM3686514v1	Pseudomonas trivialis		P_trivialis_B02_9					PRJNA951732	SAMN34055351
GCF_036865145.1	ASM3686514v1	Pseudomonas trivialis		P_trivialis_B02_9					PRJNA951732	SAMN34055351
GCA_036865205.1	ASM3686520v1	Pseudomonas trivialis		P_trivialis_B02_3					PRJNA951732	SAMN34055345
GCF_036865205.1	ASM3686520v1	Pseudomonas trivialis		P_trivialis_B02_3					PRJNA951732	SAMN34055345
GCA_036865155.1	ASM3686515v1	Pseudomonas trivialis		P_trivialis_B02_8					PRJNA951732	SAMN34055350
GCF_036865155.1	ASM3686515v1	Pseudomonas trivialis		P_trivialis_B02_8					PRJNA951732	SAMN34055350
GCA_036865005.1	ASM3686500v1	Pseudomonas trivialis		P_trivialis_W02_9					PRJNA951732	SAMN34055365
GCF_036865005.1	ASM3686500v1	Pseudomonas trivialis		P_trivialis_W02_9					PRJNA951732	SAMN34055365
GCA_036865185.1	ASM3686518v1	Pseudomonas trivialis		P_trivialis_B02_5					PRJNA951732	SAMN34055347
GCF_036865185.1	ASM3686518v1	Pseudomonas trivialis		P_trivialis_B02_5					PRJNA951732	SAMN34055347
GCA_036865045.1	ASM3686504v1	Pseudomonas trivialis		P_trivialis_W02_5					PRJNA951732	SAMN34055361
GCF_036865045.1	ASM3686504v1	Pseudomonas trivialis		P_trivialis_W02_5					PRJNA951732	SAMN34055361
GCA_036865225.1	ASM3686522v1	Pseudomonas trivialis		P_trivialis_B02_10					PRJNA951732	SAMN34055343
GCF_036865225.1	ASM3686522v1	Pseudomonas trivialis		P_trivialis_B02_10					PRJNA951732	SAMN34055343
GCA_036865085.1	ASM3686508v1	Pseudomonas trivialis		P_trivialis_W02_10					PRJNA951732	SAMN34055357
GCF_036865085.1	ASM3686508v1	Pseudomonas trivialis		P_trivialis_W02_10					PRJNA951732	SAMN34055357
GCA_036865135.1	ASM3686513v1	Pseudomonas trivialis		P_trivialis_B07_4					PRJNA951732	SAMN34055352
GCF_036865135.1	ASM3686513v1	Pseudomonas trivialis		P_trivialis_B07_4					PRJNA951732	SAMN34055352
GCA_036865035.1	ASM3686503v1	Pseudomonas trivialis		P_trivialis_W02_6					PRJNA951732	SAMN34055362
GCF_036865035.1	ASM3686503v1	Pseudomonas trivialis		P_trivialis_W02_6					PRJNA951732	SAMN34055362
GCA_036865195.1	ASM3686519v1	Pseudomonas trivialis		P_trivialis_B02_4					PRJNA951732	SAMN34055346
GCF_036865195.1	ASM3686519v1	Pseudomonas trivialis		P_trivialis_B02_4					PRJNA951732	SAMN34055346
GCA_036865055.1	ASM3686505v1	Pseudomonas trivialis		P_trivialis_W02_4					PRJNA951732	SAMN34055360
GCF_036865055.1	ASM3686505v1	Pseudomonas trivialis		P_trivialis_W02_4					PRJNA951732	SAMN34055360
GCA_036865025.1	ASM3686502v1	Pseudomonas trivialis		P_trivialis_W02_7					PRJNA951732	SAMN34055363
GCF_036865025.1	ASM3686502v1	Pseudomonas trivialis		P_trivialis_W02_7					PRJNA951732	SAMN34055363
GCA_036865015.1	ASM3686501v1	Pseudomonas trivialis		P_trivialis_W02_8					PRJNA951732	SAMN34055364
GCF_036865015.1	ASM3686501v1	Pseudomonas trivialis		P_trivialis_W02_8					PRJNA951732	SAMN34055364
GCA_016859165.1	ASM1685916v1	Pseudomonas granadensis					CT364		PRJNA695429	SAMN17614312
GCF_016859165.1	ASM1685916v1	Pseudomonas granadensis					CT364		PRJNA695429	SAMN17614312
GCA_045037875.1	ASM4503787v1	Pseudomonas petroselini		M14					PRJNA1183984	SAMN44656282
GCF_045037875.1	ASM4503787v1	Pseudomonas petroselini		M14					PRJNA1183984	SAMN44656282
GCA_900105675.1	IMG-taxon 2667527385 annotated assembly	Pseudomonas synxantha		LMG 2190					PRJEB16480	SAMN05216475
GCF_900105675.1	IMG-taxon 2667527385 annotated assembly	Pseudomonas synxantha		LMG 2190					PRJEB16480	SAMN05216475
GCA_900106045.1	IMG-taxon 2667527233 annotated assembly	Pseudomonas mucidolens		LMG 2223					PRJEB16499	SAMN05216202
GCF_900106045.1	IMG-taxon 2667527233 annotated assembly	Pseudomonas mucidolens		LMG 2223					PRJEB16499	SAMN05216202
GCA_001623525.1	ASM162352v1	Pseudomonas fluorescens		FW300-N2E2					PRJNA273571	SAMN03294340
GCF_001623525.1	ASM162352v1	Pseudomonas fluorescens		FW300-N2E2					PRJNA273571	SAMN03294340
GCA_019212185.1	ASM1921218v1	Pseudomonas fluorescens		MYb115					PRJNA743218	SAMN20014182
GCF_019212185.1	ASM1921218v1	Pseudomonas fluorescens		MYb115					PRJNA743218	SAMN20014182
GCA_035974255.1	ASM3597425v1	Pseudomonas fluorescens		MYb115					PRJNA743218	SAMN38840204
GCF_035974255.1	ASM3597425v1	Pseudomonas fluorescens		MYb115					PRJNA743218	SAMN38840204
GCA_902497775.2	PS652_2024	Pseudomonas fluorescens					PS652		PRJEB34261	SAMEA5944686
GCF_902497775.2	PS652_2024	Pseudomonas fluorescens					PS652		PRJEB34261	SAMEA5944686
GCA_003352875.1	ASM335287v1	Pseudomonas fluorescens		NEP1					PRJNA392819	SAMN07310584
GCF_003352875.1	ASM335287v1	Pseudomonas fluorescens		NEP1					PRJNA392819	SAMN07310584
GCA_000297195.3	ASM29719v3	Pseudomonas fluorescens BBc6R8		BBc6R8					PRJNA20583	SAMN02304079
GCF_000297195.3	ASM29719v3	Pseudomonas fluorescens BBc6R8		BBc6R8					PRJNA20583	SAMN02304079
GCA_900101415.1	IMG-taxon 2636416187 annotated assembly	Pseudomonas koreensis		BS3658					PRJEB15748	SAMN04490189
GCF_900101415.1	IMG-taxon 2636416187 annotated assembly	Pseudomonas koreensis		LMG 21318					PRJEB15748	SAMN04490189
GCA_900105805.1	IMG-taxon 2639762633 annotated assembly	Pseudomonas moraviensis		BS3668					PRJEB16479	SAMN04490196
GCF_900105805.1	IMG-taxon 2639762633 annotated assembly	Pseudomonas moraviensis		LMG 24280					PRJEB16479	SAMN04490196
GCA_002072675.1	ASM207267v1	Pseudomonas tolaasii		2192T					PRJNA379084	SAMN06579284
GCF_002072675.1	ASM207267v1	Pseudomonas tolaasii		2192T					PRJNA379084	SAMN06579284
GCA_900106085.1	IMG-taxon 2639763195 annotated assembly	Pseudomonas corrugata		BS3649					PRJEB16504	SAMN04490183
GCF_900106085.1	IMG-taxon 2639763195 annotated assembly	Pseudomonas corrugata		LMG 2172					PRJEB16504	SAMN04490183
GCA_900103965.1	IMG-taxon 2639762637 annotated assembly	Pseudomonas poae		BS2776					PRJEB16234	SAMN04490208
GCF_900103965.1	IMG-taxon 2639762637 annotated assembly	Pseudomonas poae		LMG 21465					PRJEB16234	SAMN04490208
GCA_001602175.1	ASM160217v1	Pseudomonas synxantha		KENGFT3					PRJNA312098	SAMN04495906
GCF_001602175.1	ASM160217v1	Pseudomonas synxantha		KENGFT3					PRJNA312098	SAMN04495906
GCA_900105575.1	IMG-taxon 2639763190 annotated assembly	Pseudomonas rhodesiae		BS2777					PRJEB16487	SAMN04490209
GCF_900105575.1	IMG-taxon 2639763190 annotated assembly	Pseudomonas rhodesiae		LMG 17764					PRJEB16487	SAMN04490209
GCA_900105815.1	IMG-taxon 2639762518 annotated assembly	Pseudomonas brenneri		BS2771					PRJEB16481	SAMN04490181
GCF_900105815.1	IMG-taxon 2639762518 annotated assembly	Pseudomonas brenneri		DSM 15294					PRJEB16481	SAMN04490181
GCA_900104365.1	IMG-taxon 2639762715 annotated assembly	Pseudomonas extremorientalis		BS2774					PRJEB16257	SAMN04490184
GCF_900104365.1	IMG-taxon 2639762715 annotated assembly	Pseudomonas extremorientalis		LMG 19695					PRJEB16257	SAMN04490184
GCA_900101035.1	IMG-taxon 2636416169 annotated assembly	Pseudomonas libanensis		BS2975					PRJEB16052	SAMN04490190
GCF_900101035.1	IMG-taxon 2636416169 annotated assembly	Pseudomonas libanensis		DSM 17149					PRJEB16052	SAMN04490190
GCA_900105795.1	IMG-taxon 2636416190 annotated assembly	Pseudomonas orientalis		BS2775					PRJEB16399	SAMN04490197
GCF_900105795.1	IMG-taxon 2636416190 annotated assembly	Pseudomonas orientalis		LMG 23660					PRJEB16399	SAMN04490197
GCA_900104885.1	IMG-taxon 2639762577 annotated assembly	Pseudomonas trivialis		BS3111					PRJEB16396	SAMN04490205
GCF_900104885.1	IMG-taxon 2639762577 annotated assembly	Pseudomonas trivialis		LMG 21464					PRJEB16396	SAMN04490205
GCA_002879715.1	ASM287971v1	Pseudomonas ogarae		FR1					PRJNA428622	SAMN08297139
GCF_002879715.1	ASM287971v1	Pseudomonas ogarae		FR1					PRJNA428622	SAMN08297139
GCA_000009225.1	ASM922v1	Pseudomonas [fluorescens] SBW25		SBW25					PRJEA31229	SAMEA2272316
GCA_000281895.1	ASM28189v1	Pseudomonas fluorescens Q2-87		Q2-87					PRJNA67535	SAMN02436465
GCF_000281895.1	ASM28189v1	Pseudomonas fluorescens Q2-87		Q2-87					PRJNA67535	SAMN02436465
GCA_000292795.1	PF-R124.01	Pseudomonas fluorescens R124		R124					PRJNA68653	SAMN02471518
GCF_000292795.1	PF-R124.01	Pseudomonas fluorescens R124		R124					PRJNA68653	SAMN02471518
GCA_903970695.1	ASM90397069v1	Pseudomonas veronii					11V4441		PRJEB38236	SAMEA6819934
GCF_903970695.1	ASM90397069v1	Pseudomonas veronii					11V4441		PRJEB38236	SAMEA6819934
GCA_000512275.1	ASM51227v1	Pseudomonas moraviensis R28-S		R28-S					PRJNA217803	SAMN02471806
GCF_000512275.1	ASM51227v1	Pseudomonas moraviensis R28-S		R28-S					PRJNA217803	SAMN02471806
GCA_000263715.2	ASM26371v2	Pseudomonas synxantha BG33R		BG33R					PRJNA67541	SAMN02436586
GCF_000263715.2	ASM26371v2	Pseudomonas synxantha BG33R		BG33R					PRJNA67541	SAMN02436586
GCA_001269845.1	ASM126984v1	Pseudomonas fluorescens		DSM 50090					PRJNA290438	SAMN03891682
GCF_001269845.1	ASM126984v1	Pseudomonas fluorescens		DSM 50090					PRJNA290438	SAMN03891682
GCA_007858165.1	ASM785816v1	Pseudomonas fluorescens		DSM 50090					PRJNA548434	SAMN12027180
GCF_007858165.1	ASM785816v1	Pseudomonas fluorescens		DSM 50090					PRJNA548434	SAMN12027180
GCA_002943685.1	ASM294368v1	Pseudomonas fluorescens		ATCC 13525					PRJNA354433	SAMN06049061
GCF_002943685.1	ASM294368v1	Pseudomonas fluorescens		ATCC 13525					PRJNA354433	SAMN06049061
GCA_002091595.1	ASM209159v1	Pseudomonas fluorescens NBRC 14160		NBRC 14160					PRJDB208	SAMD00018759
GCF_002091595.1	ASM209159v1	Pseudomonas fluorescens NBRC 14160		NBRC 14160					PRJDB208	SAMD00018759
GCA_024169245.1	ASM2416924v1	Pseudomonas koreensis		Ps 9-14					PRJNA709557	SAMN18247118
GCF_024169245.1	ASM2416924v1	Pseudomonas koreensis		Ps 9-14					PRJNA709557	SAMN18247118
GCA_012986595.1	ASM1298659v1	Pseudomonas koreensis		DSM 16610					PRJNA612806	SAMN14381929
GCF_012986595.1	ASM1298659v1	Pseudomonas koreensis		DSM 16610					PRJNA612806	SAMN14381929
GCA_014646955.1	ASM1464695v1	Pseudomonas koreensis		JCM 14769					PRJDB10510	SAMD00245249
GCF_014646955.1	ASM1464695v1	Pseudomonas koreensis		JCM 14769					PRJDB10510	SAMD00245249
GCA_008801535.1	ASM880153v1	Pseudomonas koreensis		CCUG 51519					PRJNA563568	SAMN12697588
GCF_008801535.1	ASM880153v1	Pseudomonas koreensis		CCUG 51519					PRJNA563568	SAMN12697588
GCA_001439695.1	G8123	Pseudomonas veronii		DSM 11331					PRJNA274345	SAMN03328800
GCF_001439695.1	G8123	Pseudomonas veronii		DSM 11331					PRJNA274345	SAMN03328800
GCA_039522465.1	ASM3952246v1	Pseudomonas veronii subsp. inensis		JCM 11828					PRJDB10510	SAMD00644959
GCF_039522465.1	ASM3952246v1	Pseudomonas veronii subsp. inensis		JCM 11828					PRJDB10510	SAMD00644959
GCA_001983205.1	ASM198320v1	Pseudomonas azotoformans		DSM 18862					PRJNA350775	SAMN05945971
GCF_001983205.1	ASM198320v1	Pseudomonas azotoformans		DSM 18862					PRJNA350775	SAMN05945971
GCA_900624915.1	DSM_18862T	Pseudomonas azotoformans					DSM 18862T		PRJEB29956	SAMEA5131029
GCF_900624915.1	DSM_18862T	Pseudomonas azotoformans					DSM 18862T		PRJEB29956	SAMEA5131029
GCA_001870415.1	ASM187041v1	Pseudomonas azotoformans		LMG 21611					PRJNA338491	SAMN05559686
GCF_001870415.1	ASM187041v1	Pseudomonas azotoformans		LMG 21611					PRJNA338491	SAMN05559686
GCA_002091515.1	ASM209151v1	Pseudomonas azotoformans NBRC 12693		NBRC 12693					PRJDB202	SAMD00046924
GCF_002091515.1	ASM209151v1	Pseudomonas azotoformans NBRC 12693		NBRC 12693					PRJDB202	SAMD00046924
GCA_900625075.1	DSM_19342T	Pseudomonas tolaasii					DSM_19342T		PRJEB29963	SAMEA5131111
GCF_900625075.1	DSM_19342T	Pseudomonas tolaasii					DSM_19342T		PRJEB29963	SAMEA5131111
GCA_008801395.1	ASM880139v1	Pseudomonas tolaasii		CCUG 23369					PRJNA563568	SAMN12697594
GCF_008801395.1	ASM880139v1	Pseudomonas tolaasii		CCUG 23369					PRJNA563568	SAMN12697594
GCA_007858265.1	ASM785826v1	Pseudomonas mandelii		DSM 17967					PRJNA548434	SAMN12045500
GCF_007858265.1	ASM785826v1	Pseudomonas mandelii		DSM 17967					PRJNA548434	SAMN12045500
GCA_002091695.1	ASM209169v1	Pseudomonas mandelii NBRC 103147		NBRC 103147					PRJDB215	SAMD00046931
GCF_002091695.1	ASM209169v1	Pseudomonas mandelii NBRC 103147		NBRC 103147					PRJDB215	SAMD00046931
GCA_007858175.1	ASM785817v1	Pseudomonas marginalis		DSM 18529					PRJNA548434	SAMN12034758
GCF_007858175.1	ASM785817v1	Pseudomonas marginalis		DSM 18529					PRJNA548434	SAMN12034758
GCA_001269905.1	ASM126990v1	Pseudomonas corrugata		DSM 7228					PRJNA290438	SAMN03891677
GCF_001269905.1	ASM126990v1	Pseudomonas corrugata		DSM 7228					PRJNA290438	SAMN03891677
GCA_001439785.1	G8687	Pseudomonas poae		DSM 14936					PRJNA274345	SAMN03328795
GCF_001439785.1	G8687	Pseudomonas poae		DSM 14936					PRJNA274345	SAMN03328795
GCA_007858155.1	ASM785815v1	Pseudomonas marginalis		DSM 13124					PRJNA548434	SAMN12033583
GCF_007858155.1	ASM785815v1	Pseudomonas marginalis		DSM 13124					PRJNA548434	SAMN12033583
GCA_001730605.1	ASM173060v1	Pseudomonas poae		LMG 21465					PRJNA338673	SAMN05560560
GCF_001730605.1	ASM173060v1	Pseudomonas poae		LMG 21465					PRJNA338673	SAMN05560560
GCA_001645105.1	ASM164510v1	Pseudomonas marginalis		ICMP 3553					PRJNA296744	SAMN04102829
GCF_001645105.1	ASM164510v1	Pseudomonas marginalis		ICMP 3553					PRJNA296744	SAMN04102829
GCA_001411965.1	ASM141196v1	Pseudomonas corrugata		NCPPB2445					PRJNA290284	SAMN03879927
GCF_001411965.1	ASM141196v1	Pseudomonas corrugata		NCPPB2445					PRJNA290284	SAMN03879927
GCA_003699065.1	ASM369906v1	Pseudomonas corrugata		NCPPB2445					PRJNA292453	SAMN03976502
GCF_003699065.1	ASM369906v1	Pseudomonas corrugata		NCPPB2445					PRJNA292453	SAMN03976502
GCA_001439725.1	G8689	Pseudomonas synxantha		DSM 18928					PRJNA274345	SAMN03328797
GCF_001439725.1	G8689	Pseudomonas synxantha		DSM 18928					PRJNA274345	SAMN03328797
GCA_002091795.1	ASM209179v1	Pseudomonas synxantha NBRC 3913		NBRC 3913					PRJDB226	SAMD00046938
GCF_002091795.1	ASM209179v1	Pseudomonas synxantha NBRC 3913		NBRC 3913					PRJDB226	SAMD00046938
GCA_003700725.1	ASM370072v1	Pseudomonas marginalis pv. marginalis		ICMP 3553					PRJNA292453	SAMN03976463
GCF_003700725.1	ASM370072v1	Pseudomonas marginalis pv. marginalis		ICMP 3553					PRJNA292453	SAMN03976463
GCA_039522895.1	ASM3952289v1	Pseudomonas rhodesiae		JCM 11940					PRJDB10510	SAMD00644980
GCF_039522895.1	ASM3952289v1	Pseudomonas rhodesiae		JCM 11940					PRJDB10510	SAMD00644980
GCA_024169765.1	ASM2416976v1	Pseudomonas rhodesiae		CIP104664					PRJNA709559	SAMN18245934
GCF_024169765.1	ASM2416976v1	Pseudomonas rhodesiae		CIP104664					PRJNA709559	SAMN18245934
GCA_007858255.1	ASM785825v1	Pseudomonas rhodesiae		DSM 14020					PRJNA548434	SAMN12034934
GCF_007858255.1	ASM785825v1	Pseudomonas rhodesiae		DSM 14020					PRJNA548434	SAMN12034934
GCA_002091715.1	ASM209171v1	Pseudomonas migulae NBRC 103157		NBRC 103157					PRJDB217	SAMD00046932
GCF_002091715.1	ASM209171v1	Pseudomonas migulae NBRC 103157		NBRC 103157					PRJDB217	SAMD00046932
GCA_029504145.1	ASM2950414v1	Pseudomonas baetica		a390					PRJNA893714	SAMN31439200
GCF_029504145.1	ASM2950414v1	Pseudomonas baetica		a390					PRJNA893714	SAMN31439200
GCA_003031005.1	ASM303100v1	Pseudomonas baetica		a390					PRJNA427209	SAMN08225564
GCF_003031005.1	ASM303100v1	Pseudomonas baetica		a390					PRJNA427209	SAMN08225564
GCA_014646715.1	ASM1464671v1	Pseudomonas brenneri		JCM 13307					PRJDB10510	SAMD00245233
GCF_014646715.1	ASM1464671v1	Pseudomonas brenneri		JCM 13307					PRJDB10510	SAMD00245233
GCA_007858285.1	ASM785828v1	Pseudomonas brenneri		DSM 15294					PRJNA548434	SAMN12045497
GCF_007858285.1	ASM785828v1	Pseudomonas brenneri		DSM 15294					PRJNA548434	SAMN12045497
GCA_008386555.1	ASM838655v1	Pseudomonas brenneri		CCUG 51514					PRJNA563568	SAMN12684065
GCF_008386555.1	ASM838655v1	Pseudomonas brenneri		CCUG 51514					PRJNA563568	SAMN12684065
GCA_001983165.1	ASM198316v1	Pseudomonas gessardii		DSM 17152					PRJNA350775	SAMN05945975
GCF_001983165.1	ASM198316v1	Pseudomonas gessardii		DSM 17152					PRJNA350775	SAMN05945975
GCA_009671285.1	ASM967128v1	Pseudomonas gessardii		DSM 17152					PRJNA548434	SAMN12034975
GCF_009671285.1	ASM967128v1	Pseudomonas gessardii		DSM 17152					PRJNA548434	SAMN12034975
GCA_900625085.1	DSM_17152T	Pseudomonas gessardii					DSM 17152T		PRJEB29961	SAMEA5131109
GCF_900625085.1	DSM_17152T	Pseudomonas gessardii					DSM 17152T		PRJEB29961	SAMEA5131109
GCA_000774145.1	ASM77414v1	Pseudomonas mediterranea CFBP 5447		CFBP 5447					PRJNA210952	SAMN03112705
GCF_000774145.1	ASM77414v1	Pseudomonas mediterranea CFBP 5447		CFBP 5447					PRJNA210952	SAMN03112705
GCA_900625005.1	DSM 15824T	Pseudomonas extremorientalis					DSM 15824T		PRJEB29960	SAMEA5131080
GCF_900625005.1	DSM 15824T	Pseudomonas extremorientalis					DSM 15824T		PRJEB29960	SAMEA5131080
GCA_001439815.1	G8783	Pseudomonas orientalis		DSM 17489					PRJNA274345	SAMN03328802
GCF_001439815.1	G8783	Pseudomonas orientalis		DSM 17489					PRJNA274345	SAMN03328802
GCA_001870465.1	ASM187046v1	Pseudomonas extremorientalis		LMG 19695					PRJNA338696	SAMN05561041
GCF_001870465.1	ASM187046v1	Pseudomonas extremorientalis		LMG 19695					PRJNA338696	SAMN05561041
GCA_001439805.1	G8691	Pseudomonas trivialis		DSM 14937					PRJNA274345	SAMN03328799
GCF_001439805.1	G8691	Pseudomonas trivialis		DSM 14937					PRJNA274345	SAMN03328799
GCA_008801565.1	ASM880156v1	Pseudomonas extremorientalis		CCUG 51517					PRJNA563568	SAMN12697587
GCF_008801565.1	ASM880156v1	Pseudomonas extremorientalis		CCUG 51517					PRJNA563568	SAMN12697587
GCA_001730655.1	ASM173065v1	Pseudomonas trivialis		LMG 21464					PRJNA338684	SAMN05560640
GCF_001730655.1	ASM173065v1	Pseudomonas trivialis		LMG 21464					PRJNA338684	SAMN05560640
GCA_007858275.1	ASM785827v1	Pseudomonas proteolytica		DSM 15321					PRJNA548434	SAMN12034948
GCF_007858275.1	ASM785827v1	Pseudomonas proteolytica		DSM 15321					PRJNA548434	SAMN12034948
GCA_008692865.1	ASM869286v1	Pseudomonas proteolytica		CCUG 51515T					PRJNA563568	SAMN12771132
GCF_008692865.1	ASM869286v1	Pseudomonas proteolytica		CCUG 51515T					PRJNA563568	SAMN12771132
GCA_001870435.1	ASM187043v1	Pseudomonas costantinii		LMG 22119					PRJNA338492	SAMN05559687
GCF_001870435.1	ASM187043v1	Pseudomonas costantinii		LMG 22119					PRJNA338492	SAMN05559687
GCA_001983175.1	ASM198317v1	Pseudomonas cedrina subsp. cedrina		DSM 17516					PRJNA350775	SAMN05945970
GCF_001983175.1	ASM198317v1	Pseudomonas cedrina subsp. cedrina		DSM 17516					PRJNA350775	SAMN05945970
GCA_900625035.1	DSM_17516T	Pseudomonas cedrina subsp. cedrina					DSM 17516T		PRJEB29957	SAMEA5131030
GCF_900625035.1	DSM_17516T	Pseudomonas cedrina subsp. cedrina					DSM 17516T		PRJEB29957	SAMEA5131030
GCA_002091735.1	ASM209173v1	Pseudomonas mucidolens NBRC 103159		NBRC 103159					PRJDB219	SAMD00046933
GCF_002091735.1	ASM209173v1	Pseudomonas mucidolens NBRC 103159		NBRC 103159					PRJDB219	SAMD00046933
GCA_023241715.1	ASM2324171v1	Pseudomonas morbosilactucae		MAFF 302030					PRJNA832009	SAMN27770878
GCF_023241715.1	ASM2324171v1	Pseudomonas morbosilactucae		MAFF 302030					PRJNA832009	SAMN27770878
GCA_021166635.1	ASM2116663v1	Pseudomonas petroselini		MAFF 311094					PRJNA785388	SAMN23560408
GCF_021166635.1	ASM2116663v1	Pseudomonas petroselini		MAFF 311094					PRJNA785388	SAMN23560408
GCA_024169065.1	ASM2416906v1	Pseudomonas fluorescens		NCTC 9428					PRJNA712063	SAMN18251342
